Name,original address,TypeFull,old text,Phone,Start Time,Day,Address,status,street,borough,zip,cb,cwz,lat,lon,BBL,Additional Information,Type,Open Range
MAKE THE ROAD NEW YORK (QN),"92-10 Roosevelt Ave, Jackson Heights, NY, 11372, USA",Food Pantry,ClosedOpens 8:00 AM Wed(718) 565-8500,(718) 565-8500,8:00 AM,Wed,"92-10 Roosevelt Ave, Jackson Heights, NY, 11372, USA",OK,92-10 ROOSEVELT AVENUE,QUEENS,11372,404,QN2,40.748623,-73.874487,4015500020,,Food Pantry,Morning
LOVE WINS FOOD PANTRY - MERCADITO SOLIDARIO,"3763 83RD STREET, JACKSON HEIGHTS",Food Pantry,ClosedOpens 1:00 PM Fri(347) 735-6989,(347) 735-6989,1:00 PM,Fri,"3763 83RD STREET, JACKSON HEIGHTS",OK,3763 83 STREET,QUEENS,11372,403,QN2,40.749486,-73.883306,4014717501,,Food Pantry,Afternoon
MUNA SOCIAL SERVICES - JACKSON HEIGHTS COMMUNITY ,"35-35 71st St, Jackson Heights, NY, 11372, USA",Food Pantry,ClosedOpens 2:00 PM Thu(212) 920-6202,(212) 920-6202,2:00 PM,Thu,"35-35 71st St, Jackson Heights, NY, 11372, USA",OK,35-35 71 STREET,QUEENS,11372,403,QN2,40.74956,-73.894689,4012710158,,Food Pantry,Afternoon
MINISTERIO LA LUZ DE LA ESPERANZA PARA LAS NACIONES DE JESUCRISTO,79-01 BROADWAY,Food Pantry,ClosedOpens 5:00 PM Thu(631) 336-0572,(631) 336-0572,5:00 PM,Thu,79-01 BROADWAY,OK,79-01 BROADWAY,MANHATTAN,10006,101,MN1A,40.707555,-74.011877,1000490001,,Food Pantry,Afternoon
CORPUS CHRISTI FOOD PANTRY,"31-30 61st St, Woodside, New York, 11377",Food Pantry,ClosedOpens 9:00 AM Wed(718) 721-2774,(718) 721-2774,9:00 AM,Wed,"31-30 61st St, Woodside, New York, 11377",OK,31-30 61 STREET,QUEENS,11377,401,QN1,40.756999,-73.901802,4011360048,,Food Pantry,Morning
BETHANY PANTRY,"48-08 91st Pl, Elmhurst, New York, 11373",Food Pantry,ClosedOpens 9:00 AM Sat(917) 533-1679,(917) 533-1679,9:00 AM,Sat,"48-08 91st Pl, Elmhurst, New York, 11373",OK,48-08 91 PLACE,QUEENS,11373,404,QN2,40.741507,-73.872988,4018500010,,Food Pantry,Morning
EVANGELICAL CHURCH CHRIST IS THE LIGHT,"89-16 48th Ave, Elmhurst, New York, 11373",Food Pantry,ClosedOpens 9:00 AM Fri(718) 592-2701,(718) 592-2701,9:00 AM,Fri,"89-16 48th Ave, Elmhurst, New York, 11373",OK,89-16 48 AVENUE,QUEENS,11373,404,QN2,40.741172,-73.875316,4018340031,,Food Pantry,Morning
AIDS CENTER OF QUEENS COUNTY (WOODSIDE),"62-07 Woodside Ave, Woodside, New York, 11377",Food Pantry - HIV Customers,ClosedOpens 10:00 AM Tue(718) 472-9400,(718) 472-9400,10:00 AM,Tue,"62-07 Woodside Ave, Woodside, New York, 11377",OK,62-07 WOODSIDE AVENUE,QUEENS,11377,402,QN1,40.744503,-73.902135,4012940020,HIV Customers,Food Pantry,Morning
BVM/ST. MARY'S CHURCH WINFIELD,"70-31 48th Ave, Woodside, New York, 11377",Food Pantry,ClosedOpens 9:30 AM undefined(718) 672-4848,(718) 672-4848,9:30 AM,No Info,"70-31 48th Ave, Woodside, New York, 11377",OK,70-31 48 AVENUE,QUEENS,11377,402,QN1,40.738317,-73.893797,4024450001,,Food Pantry,Morning
THE SALVATION ARMY ASTORIA CORPS,"45-18 Broadway, Astoria, New York, 11103",Food Pantry,ClosedOpens 2:00 PM(718) 721-9046,(718) 721-9046,2:00 PM,No Info,"45-18 Broadway, Astoria, New York, 11103",OK,45-18 BROADWAY,QUEENS,11103,401,QN1,40.756985,-73.91479,4007080040,,Food Pantry,Afternoon
FOREST HILLS SENIORS CENTER,"108-25 62nd Dr, Forest Hills, New York, 11375",Food Pantry,ClosedOpens 8:30 AM undefined(929) 349-9740,(929) 349-9740,8:30 AM,No Info,"108-25 62nd Dr, Forest Hills, New York, 11375",OK,108-25 62 DRIVE,QUEENS,11375,406,QN2,40.73591,-73.850212,4021590015,,Food Pantry,Morning
ICNA FLUSHING FOOD PANTRY,"140-32 Cherry Ave, Flushing, New York, 11355",Food Pantry,ClosedOpens 12:00 PM Wed(929) 329-7986,(929) 329-7986,12:00 PM,Wed,"140-32 Cherry Ave, Flushing, New York, 11355",OK,140-32 CHERRY AVENUE,QUEENS,11355,407,QN3,40.754386,-73.821573,4051927504,,Food Pantry,Noon
YESHUA WORLDWIDE MINISTRIES FOOD PANTRY (FP),"79-11 Caldwell Ave, Middle Village, NY, 11379, USA",Food Pantry,ClosedOpens 1:00 PM(347) 507-1689,(347) 507-1689,1:00 PM,No Info,"79-11 Caldwell Ave, Middle Village, NY, 11379, USA",OK,79-11 CALDWELL AVENUE,QUEENS,11379,405,QN2,40.725439,-73.880429,4028270026,,Food Pantry,Afternoon
FOOD SHARING WITH OUR NEIGHBORS PROGRAMS (FP),"38-24 149th St, Flushing, New York, 11354",Food Pantry,ClosedOpens 10:00 AM undefined(718) 939-8599,(718) 939-8599,10:00 AM,No Info,"38-24 149th St, Flushing, New York, 11354",OK,38-24 149 STREET,QUEENS,11354,407,QN3,40.764053,-73.816764,4050260035,,Food Pantry,Morning
ESTHER GRUNBLATT-CENTRAL QUEENS Y (FPK),"67-09 108th St, Forest Hills, New York, 11375",Food Pantry - Kosher,ClosedOpens 2:00 PM(718) 704-8160,(718) 704-8160,2:00 PM,No Info,"67-09 108th St, Forest Hills, New York, 11375",OK,67-09 108 STREET,QUEENS,11375,406,QN2,40.728702,-73.847414,4021760001,Kosher,Food Pantry,Afternoon
SOUTH ASIAN COUNCIL FOR SOCIAL SERVICES,"143-02 45th Ave, Flushing, New York, 11355",Food Pantry,ClosedOpens 1:00 PM(718) 321-7929,(718) 321-7929,1:00 PM,No Info,"143-02 45th Ave, Flushing, New York, 11355",OK,143-02 45 AVENUE,QUEENS,11355,407,QN3,40.753898,-73.81829,4052030001,,Food Pantry,Afternoon
IGLESIA ALIANZA MISIONERA EBENEZER (FP),"43-02 38th St, Long Island City, New York, 11101",Food Pantry,ClosedOpens 8:00 AM Sat(718) 729-1944,(718) 729-1944,8:00 AM,Sat,"43-02 38th St, Long Island City, New York, 11101",OK,43-02 38 STREET,QUEENS,11101,402,QN1,40.745608,-73.926757,4002200023,,Food Pantry,Morning
SAINT TERESA CHURCH - SAINT VINCENT DePAUL SOCIETY,"50-20 45th St, Woodside, New York, 11377",Food Pantry,ClosedOpens 4:00 PM Tue(718) 784-2123,(718) 784-2123,4:00 PM,Tue,"50-20 45th St, Woodside, New York, 11377",OK,50-20 45 STREET,QUEENS,11377,402,QN1,40.73693,-73.920903,4022940050,,Food Pantry,Afternoon
MASBIA OF QUEENS,"105-47 64th Rd, Forest Hills, New York, 11375",Food Pantry - KosherSoup Kitchen - Kosher,ClosedOpens 7:00 PM(718) 534-7321,(718) 534-7321,7:00 PM,No Info,"105-47 64th Rd, Forest Hills, New York, 11375",OK,105-47 64 ROAD,QUEENS,11375,406,QN2,40.731734,-73.85112,4021490001,Kosher,Food Pantry,Afternoon
GRACE & PEACE FOOD BANK,"525 Compton Ave, Bronx, NY, 10473, USA",Food Pantry,ClosedOpens 9:00 AM Sat(718) 924-8839,(718) 924-8839,9:00 AM,Sat,"525 Compton Ave, Bronx, NY, 10473, USA",OK,525 COMPTON AVENUE,BRONX,10473,209,BX2,40.813269,-73.854709,2034760040,,Food Pantry,Morning
SPANISH SOUNDVIEW SEVENTH DAY ADVENTIST CHURCH,"1822 Lacombe Ave, Bronx, New York, 10473",Food Pantry,ClosedOpens 8:00 AM Wed(718) 842-7373,(718) 842-7373,8:00 AM,Wed,"1822 Lacombe Ave, Bronx, New York, 10473",OK,1822 LACOMBE AVENUE,BRONX,10473,209,BX2,40.815052,-73.861258,2034960037,,Food Pantry,Morning
CITY HARVEST - ASTORIA MOBILE MARKET,"1-11 Astoria Blvd, Astoria, NY, 11102, USA",Food Pantry - Mobile,ClosedOpens 9:30 AM Sat(646) 412-0725,(646) 412-0725,9:30 AM,Sat,"1-11 Astoria Blvd, Astoria, NY, 11102, USA",OK,1-11 ASTORIA BOULEVARD,QUEENS,11102,401,QN1,40.773884,-73.936492,:,Mobile,Food Pantry,Morning
SHOUT FOR JOY BAPTIST CHURCH INC,"456 White Plains Rd, Bronx, NY, 10473, USA",Food Pantry,ClosedOpens 8:00 AM Sat(347) 400-0409,(347) 400-0409,8:00 AM,Sat,"456 White Plains Rd, Bronx, NY, 10473, USA",OK,456 WHITE PLAINS ROAD,BRONX,10473,209,BX2,40.814833,-73.85658,2034780018,,Food Pantry,Morning
PRODIGAL CENTER,"709 Tiffany St, Bronx, New York, 10474",Food Pantry,ClosedOpens 11:00 AM Tue(718) 644-8523,(718) 644-8523,11:00 AM,Tue,"709 Tiffany St, Bronx, New York, 10474",OK,709 TIFFANY STREET,BRONX,10474,202,BX2,40.814058,-73.891198,2027370130,,Food Pantry,Noon
CHAPEL OF THE GREAT RESTORER FOOD PANTRY (FP),"1121 Longwood Ave, Bronx, NY, 10474, USA",Food Pantry,ClosedOpens 12:00 PM Sat(718) 673-8139,(718) 673-8139,12:00 PM,Sat,"1121 Longwood Ave, Bronx, NY, 10474, USA",OK,1121 LONGWOOD AVENUE,BRONX,10474,202,BX2,40.814716,-73.89352,2027370078,,Food Pantry,Noon
EVANGEL FOOD PANTRY,"39-21 Crescent St, Long Island City, New York, 11101",Food Pantry,ClosedOpens 3:00 PM(718) 361-5454,(718) 361-5454,3:00 PM,No Info,"39-21 Crescent St, Long Island City, New York, 11101",OK,39-21 CRESCENT STREET,QUEENS,11101,401,QN1,40.754378,-73.93711,4003960010,,Food Pantry,Afternoon
ST. LUKES FOOD PANTRY,"623 E 138th St, Bronx, New York, 10454",Food Pantry,ClosedOpens 10:00 AM Fri(718) 665-6677,(718) 665-6677,10:00 AM,Fri,"623 E 138th St, Bronx, New York, 10454",OK,623 EAST  138 STREET,BRONX,10454,201,BX1,40.806047,-73.915633,2025510058,,Food Pantry,Morning
BRIGHT TEMPLE A.M.E. CHURCH/PROJECT F.I.L.L.,"812 Faile St, Bronx, New York, 10474",Food Pantry,ClosedOpens 10:00 AM Fri(718) 542-7777,(718) 542-7777,10:00 AM,Fri,"812 Faile St, Bronx, New York, 10474",OK,812 FAILE STREET,BRONX,10474,202,BX2,40.817282,-73.887197,2027620072,,Food Pantry,Morning
HOUR CHILDREN COMMUNITY OUTREACH (FP),"36-49 11th St, Astoria, New York, 11106",Food Pantry,ClosedOpens 2:00 PM Thu(718) 482-8226,(718) 482-8226,2:00 PM,Thu,"36-49 11th St, Astoria, New York, 11106",OK,36-49 11 STREET,QUEENS,11106,401,QN1,40.760437,-73.940382,4003520001,,Food Pantry,Afternoon
ST. RAPHAEL CHURCH FOOD PANTRY (FP),"35-20 Greenpoint Ave, Sunnyside, New York, 11104",Food Pantry,ClosedOpens 1:30 PM Sat(718) 729-8957,(718) 729-8957,1:30 PM,Sat,"35-20 Greenpoint Ave, Sunnyside, New York, 11104",OK,35-20 GREENPOINT AVENUE,QUEENS,11101,402,QN1,40.737258,-73.930555,4002330001,,Food Pantry,Afternoon
"UNITED BRONX PARENTS, INC. (FP & SK)","603 Prospect Ave, Bronx, New York, 10455",Food PantrySoup Kitchen - Mobile,ClosedOpens 2:30 PM Thu(718) 991-7100,(718) 991-7100,2:30 PM,Thu,"603 Prospect Ave, Bronx, New York, 10455",OK,603 PROSPECT AVENUE,BRONX,10455,201,BX1,40.813721,-73.903962,2026740038,,Food Pantry,Afternoon
ST. ANN'S CHURCH OF MORRISANIA,"295 St Anns Ave, Bronx, New York, 10454",Food PantrySoup Kitchen,ClosedOpens 11:00 AM Sun(718) 585-5632,(718) 585-5632,11:00 AM,Sun,"295 St Anns Ave, Bronx, New York, 10454",OK,295 ST ANNS AVENUE,BRONX,10454,201,BX1,40.808359,-73.916461,2022670044,,Food Pantry,Noon
CENTER OF HOPE INTERNATIONAL,"38-49 12nd St, Long Island City, New York, 11101",Food Pantry,ClosedOpens 2:00 PM(718) 784-4673,(718) 784-4673,2:00 PM,No Info,"38-49 12nd St, Long Island City, New York, 11101",OK,38-49 12 STREET,QUEENS,11101,401,QN1,40.757737,-73.941207,4004720640,,Food Pantry,Afternoon
CHAZAQ,"141-47 72nd Ave, Flushing, New York, 11367",Food Pantry,ClosedOpens 2:30 PM Tue(718) 285-9132,(718) 285-9132,2:30 PM,Tue,"141-47 72nd Ave, Flushing, New York, 11367",OK,141-47 72 AVENUE,QUEENS,11367,408,QN3,40.726574,-73.822232,4066200032,,Food Pantry,Afternoon
CITY HARVEST - ST. MARY'S MOBILE MARKET,"595 Trinity Ave, Bronx, New York, 10455",Food Pantry - Mobile,ClosedOpens 9:30 AM Sat(646) 412-0740,(646) 412-0740,9:30 AM,Sat,"595 Trinity Ave, Bronx, New York, 10455",OK,595 TRINITY AVENUE,BRONX,10455,201,BX1,40.81487,-73.909517,2026230135,Mobile,Food Pantry,Morning
CITY HARVEST MOBILE MARKET - QUEENSBRIDGE HOUSES,"10-25 41st Ave, Long Island City, New York, 11101",Food Pantry - Mobile,ClosedOpens 9:30 AM Sat(646) 412-0740,(646) 412-0740,9:30 AM,Sat,"10-25 41st Ave, Long Island City, New York, 11101",OK,10-25 41 AVENUE,QUEENS,11101,401,QN1,40.755488,-73.945328,4004700100,Mobile,Food Pantry,Morning
"FRATERNITE NOTRE DAME, INC","2290 1st Ave, New York, New York, 10035",Food PantrySoup Kitchen,ClosedOpens 1:00 PM(212) 876-5855,(212) 876-5855,1:00 PM,No Info,"2290 1st Ave, New York, New York, 10035",OK,2290 1 AVENUE,MANHATTAN,10035,111,MN6,40.797115,-73.934585,1017110048,,Food Pantry,Afternoon
GIVE THEM TO EAT (FP),"800 E 156th St, Bronx, New York, 10455",Food Pantry,ClosedOpens 11:00 AM Fri(646) 522-2635,(646) 522-2635,11:00 AM,Fri,"800 E 156th St, Bronx, New York, 10455",OK,800 EAST  156 STREET,BRONX,10455,201,BX1,40.817723,-73.904332,2026650056,,Food Pantry,Noon
LITTLE SISTERS OF THE ASSUMPTION FAMILY HEALTH SERVICE,"333 E 115th St, New York, New York, 10029",Food Pantry,ClosedOpens 9:00 AM Wed(646) 672-5200,(646) 672-5200,9:00 AM,Wed,"333 E 115th St, New York, New York, 10029",OK,333 EAST  115 STREET,MANHATTAN,10029,111,MN6,40.795741,-73.936919,1016870017,,Food Pantry,Morning
MACEDONIA CH. ASSEMBLY OF GOD-BREAD OF LIFE FOOD PANTRY,"340 E 106th St, New York, New York, 10029",Food Pantry,ClosedOpens 9:00 AM Fri(212) 410-3412,(212) 410-3412,9:00 AM,Fri,"340 E 106th St, New York, New York, 10029",OK,340 EAST  106 STREET,MANHATTAN,10029,111,MN6,40.790001,-73.94098,1016770033,,Food Pantry,Morning
"WAY OUT CHURCH MINISTRIES, INC (FP)","520 E 148th St, Bronx, New York, 10455",Food Pantry,ClosedOpens 9:00 AM Fri(718) 665-8069,(718) 665-8069,9:00 AM,Fri,"520 E 148th St, Bronx, New York, 10455",OK,520 EAST  148 STREET,BRONX,10455,201,BX1,40.813976,-73.914482,2022740012,,Food Pantry,Morning
ISAACS HOLMES FOOD PANTRY,"415 E 93rd St, New York, New York, 10128",Food Pantry,ClosedOpens 9:30 AM Wed(212) 360-7620,(212) 360-7620,9:30 AM,Wed,"415 E 93rd St, New York, New York, 10128",OK,415 EAST   93 STREET,MANHATTAN,10128,108,MN6,40.780904,-73.945112,1015730001,,Food Pantry,Morning
"DISCIPLES OF GALILEE, INC","725 Castle Hill Ave, Bronx, NY, 10473, USA",Food Pantry,ClosedOpens 1:00 PM Fri(347) 293-6166,(347) 293-6166,1:00 PM,Fri,"725 Castle Hill Ave, Bronx, NY, 10473, USA",OK,725 CASTLE HILL AVENUE,BRONX,10473,209,BX2,40.821616,-73.848646,2036100001,,Food Pantry,Afternoon
ST. ANN'S CORNER OF HARM REDUCTION,"886 Westchester Ave, Bronx, NY, 10459, USA",Soup Kitchen,OpenCloses 11:00 PM(718) 585-5544,(718) 585-5544,11:00 AM,No Info,"886 Westchester Ave, Bronx, NY, 10459, USA",OK,886 WESTCHESTER AVENUE,BRONX,10459,202,BX2,40.820727,-73.899541,2026967501,,Soup Kitchen,Noon
WORD OF LIFE CHRISTIAN FELLOWSHIP,830 UNION AVENUE,Food Pantry,ClosedOpens 11:00 AM Sat(718) 861-5678,(718) 861-5678,11:00 AM,Sat,830 UNION AVENUE,OK,830 UNION AVENUE,BRONX,10459,201,BX1,40.819638,-73.903144,2026660066,,Food Pantry,Noon
FELLOWSHIP COVENANT CHURCH,"720 Castle Hill Ave, Bronx, New York, 10473",Food Pantry,ClosedOpens 9:00 AM Wed(718) 829-2116,(718) 829-2116,9:00 AM,Wed,"720 Castle Hill Ave, Bronx, New York, 10473",OK,720 CASTLE HILL AVENUE,BRONX,10473,209,BX2,40.821555,-73.84861,2036130032,,Food Pantry,Morning
"ABRAHAM HOUSE, INC","340 Willis Ave, Bronx, New York, 10454",Food Pantry,ClosedOpens 9:00 AM Sat(718) 292-9321,(718) 292-9321,9:00 AM,Sat,"340 Willis Ave, Bronx, New York, 10454",OK,340 WILLIS AVENUE,BRONX,10454,201,BX1,40.811319,-73.921266,2022860006,,Food Pantry,Morning
RESURRECTION AND LIFE PENTECOSTAL CHURCH (FP),"870 E 163rd St, Bronx, New York, 10459",Food Pantry,ClosedOpens 10:00 AM Sat(929) 472-4201,(929) 472-4201,10:00 AM,Sat,"870 E 163rd St, Bronx, New York, 10459",OK,870 EAST  163 STREET,BRONX,10459,202,BX2,40.821759,-73.899073,2026900080,,Food Pantry,Morning
THE URBAN OUTREACH CENTER OF NYC,"1745 1st Ave, New York, New York, 10128",Food PantrySoup Kitchen,ClosedOpens 9:00 AM Fri(212) 288-6743,(212) 288-6743,9:00 AM,Fri,"1745 1st Ave, New York, New York, 10128",OK,1745 1 AVENUE,MANHATTAN,10128,108,MN6,40.7797,-73.947326,1015530025,,Food Pantry,Morning
HARVEST TO HAVEN,"210 Alexander Ave, Bronx, NY, 10454, USA",Food Pantry,OpenCloses 2:00 PM(718) 665-5250,(718) 665-5250,2:00 PM,No Info,"210 Alexander Ave, Bronx, NY, 10454, USA",OK,210 ALEXANDER AVENUE,BRONX,10454,201,BX1,40.809172,-73.925777,2022980040,,Food Pantry,Afternoon
ST. JEROME H.A.N.D.S. COMMUNITY CENTER,"330 E 138th St, Bronx, New York, 10454",Food Pantry,ClosedOpens 10:00 AM Wed(718) 402-7866,(718) 402-7866,10:00 AM,Wed,"330 E 138th St, Bronx, New York, 10454",OK,330 EAST  138 STREET,BRONX,10454,201,BX1,40.809927,-73.924866,2022980101,,Food Pantry,Morning
THESSALONIA BAPTIST CHURCH,"951 Rev James A Polite Ave, Bronx, New York, 10459",Food Pantry,ClosedOpens 10:00 AM Tue(718) 542-0828,(718) 542-0828,10:00 AM,Tue,"951 Rev James A Polite Ave, Bronx, New York, 10459",OK,951 REV JAMES A POLITE AVENUE,BRONX,10459,202,BX2,40.822266,-73.898931,2026900155,,Food Pantry,Morning
BREAD OF LIFE FOOD PANTRY,"1104 Elder Ave, Bronx, New York, 10472",Food Pantry,ClosedOpens 1:30 PM Sat(347) 235-3723,(347) 235-3723,1:30 PM,Sat,"1104 Elder Ave, Bronx, New York, 10472",OK,1104 ELDER AVENUE,BRONX,10472,209,BX2,40.826487,-73.878672,2037400005,,Food Pantry,Afternoon
BRONX TEMPLE SEVENTH DAY ADVENTIST CHURCH,"495 Willis Ave, Bronx, New York, 10455",Food Pantry,OpenCloses 2:30 PM(718) 842-4504,(718) 842-4504,2:30 PM,No Info,"495 Willis Ave, Bronx, New York, 10455",OK,495 WILLIS AVENUE,BRONX,10455,201,BX1,40.814973,-73.918595,2023070054,,Food Pantry,Afternoon
GIVE BY GRACE WHAT BY GRACE YOU HAVE RECEIVED INC (FP),"936 E 165th St, Bronx, New York, 10459",Food Pantry,ClosedOpens 12:00 PM Fri(718) 710-9339,(718) 710-9339,12:00 PM,Fri,"936 E 165th St, Bronx, New York, 10459",OK,936 EAST  165 STREET,BRONX,10459,202,BX2,40.823875,-73.896056,2027040127,,Food Pantry,Noon
CHAMBERS MEMORIAL BAPTIST CHURCH/LOVE OFFERING,"219 E 123rd St, New York, NY, 10035, USA",Food Pantry,ClosedOpens 9:00 AM Wed(347) 600-9820,(347) 600-9820,9:00 AM,Wed,"219 E 123rd St, New York, NY, 10035, USA",OK,219 EAST  123 STREET,MANHATTAN,10035,111,MN6,40.802141,-73.93614,1017880008,,Food Pantry,Morning
QUEENS JEWISH COMMUNITY COUNCIL,"119-45 Union Tpke, Forest Hills, New York, 11375",Food Pantry - Kosher,OpenCloses 2:00 PM(718) 544-9033,(718) 544-9033,2:00 PM,No Info,"119-45 Union Tpke, Forest Hills, New York, 11375",OK,119-45 UNION TURNPIKE,QUEENS,11375,406,QN2,40.713909,-73.832351,4033477501,Kosher,Food Pantry,Afternoon
LT WORKS FOOD PANTRY,"2347 Lafayette Ave, Bronx, New York, 10473",Food Pantry,OpenCloses 12:30 PM(347) 810-1201,(347) 810-1201,12:30 PM,No Info,"2347 Lafayette Ave, Bronx, New York, 10473",OK,2347 LAFAYETTE AVENUE,BRONX,10473,209,BX2,40.82385,-73.844681,2036960050,,Food Pantry,Noon
THE SALVATION ARMY MANHATTAN CITADEL,"175 E 125th St, New York, New York, 10035",Food Pantry,OpenCloses 3:00 PM(212) 860-3200,(212) 860-3200,3:00 PM,No Info,"175 E 125th St, New York, New York, 10035",OK,175 EAST  125 STREET,MANHATTAN,10035,111,MN6,40.804005,-73.936518,1017740033,,Food Pantry,Afternoon
CCCS BRONX FOOD PANTRY,"402 E 152nd St, Bronx, New York, 10455",Food Pantry,ClosedOpens 10:00 AM Fri(718) 292-9090,(718) 292-9090,10:00 AM,Fri,"402 E 152nd St, Bronx, New York, 10455",OK,402 EAST  152 STREET,BRONX,10455,201,BX1,40.818152,-73.916536,2023740035,,Food Pantry,Morning
SPANISH SEVENTH DAY ADVENTIST CHURCH FOOD PANTRY,"1038 Prospect Ave, Bronx, New York, 10459",Food Pantry,ClosedOpens 8:30 AM undefined(718) 991-7362,(718) 991-7362,8:30 AM,No Info,"1038 Prospect Ave, Bronx, New York, 10459",OK,1038 PROSPECT AVENUE,BRONX,10459,202,BX2,40.824457,-73.899622,2026910012,,Food Pantry,Morning
LOYAL BAPTIST CHURCH,"881 E 167th St, Bronx, New York, 10459",Soup Kitchen,OpenCloses 3:00 PM(718) 328-3512,(718) 328-3512,3:00 PM,No Info,"881 E 167th St, Bronx, New York, 10459",OK,881 EAST  167 STREET,BRONX,10459,202,BX2,40.826002,-73.896292,2027060028,,Soup Kitchen,Afternoon
ST. CECILIA'S PARISH SERVICES,"125 E 105th St, New York, New York, 10029",Food Pantry,ClosedOpens 9:00 AM Wed(212) 348-0488,(212) 348-0488,9:00 AM,Wed,"125 E 105th St, New York, New York, 10029",OK,125 EAST  105 STREET,MANHATTAN,10029,111,MN6,40.791868,-73.94745,1016330010,,Food Pantry,Morning
BOOM! HEALTH (FPHA),"3144 3rd Ave, Bronx, New York, 10451",Food Pantry - HIV Customers,OpenCloses 12:30 PM(718) 295-5960,(718) 295-5960,12:30 PM,No Info,"3144 3rd Ave, Bronx, New York, 10451",OK,3144 3 AVENUE,BRONX,10451,201,BX1,40.822353,-73.910576,2023600089,HIV Customers,Food Pantry,Noon
